City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
144,Deputatskiy,RU,2020-09-13 20:35:55,69.3,139.9,37.49,83,100,3.51,overcast clouds
145,Bonavista,CA,2020-09-13 20:35:55,48.65,-53.11,58.66,67,96,10.58,overcast clouds
146,Longyearbyen,SJ,2020-09-13 20:35:55,78.22,15.64,37.4,74,75,14.99,broken clouds
147,Kulhudhuffushi,MV,2020-09-13 20:35:56,6.62,73.07,82.02,77,100,13.02,overcast clouds
148,Richards Bay,ZA,2020-09-13 20:35:56,-28.78,32.04,73.42,62,0,15.68,clear sky
149,Kokkola,FI,2020-09-13 20:35:56,63.84,23.13,55.0,62,16,10.29,few clouds
150,Pacifica,US,2020-09-13 20:32:34,37.61,-122.49,69.01,68,90,16.11,haze
151,Payson,US,2020-09-13 20:35:56,40.04,-111.73,84.99,33,1,4.7,clear sky
152,Jamestown,US,2020-09-13 20:35:56,42.1,-79.24,73.0,77,75,12.75,broken clouds
153,Pisco,PE,2020-09-13 20:35:56,-13.7,-76.22,69.8,60,5,12.75,clear sky
154,Upernavik,GL,2020-09-13 20:32:16,72.79,-56.15,32.04,96,98,10.78,overcast clouds
155,Carutapera,BR,2020-09-13 20:35:57,-1.2,-46.02,79.5,79,13,9.13,few clouds
156,Saint George,US,2020-09-13 20:31:11,37.1,-113.58,93.0,10,1,6.93,clear sky
157,Arraial Do Cabo,BR,2020-09-13 20:35:57,-22.97,-42.03,78.8,73,0,21.92,clear sky
158,Libreville,GA,2020-09-13 20:35:57,0.39,9.45,78.8,83,20,9.17,few clouds
159,Hasaki,JP,2020-09-13 20:31:11,35.73,140.83,70.0,94,75,6.93,broken clouds
160,Mecca,SA,2020-09-13 20:33:22,21.43,39.83,87.91,38,1,3.49,clear sky
161,Hervey Bay,AU,2020-09-13 20:35:57,-25.3,152.85,61.0,94,6,3.0,clear sky
162,San Vicente De Canete,PE,2020-09-13 20:35:57,-13.08,-76.38,64.33,71,25,6.31,scattered clouds
163,Palora,EC,2020-09-13 20:35:58,-1.7,-77.93,80.6,57,40,4.7,scattered clouds
164,New Norfolk,AU,2020-09-13 20:35:58,-42.78,147.06,44.01,69,42,1.99,light rain
165,Mayo,US,2020-09-13 20:35:58,38.89,-76.51,80.01,88,20,12.75,few clouds
166,Tahta,EG,2020-09-13 20:35:58,26.77,31.5,87.8,27,0,2.24,clear sky
167,Kupang,ID,2020-09-13 20:35:59,-10.17,123.58,70.74,70,1,5.03,clear sky
168,Bonthe,SL,2020-09-13 20:35:59,7.53,-12.51,77.49,91,100,7.11,light rain
169,Mount Gambier,AU,2020-09-13 20:35:59,-37.83,140.77,44.6,100,40,6.93,scattered clouds
170,Cangzhou,CN,2020-09-13 20:35:59,38.32,116.87,65.41,86,94,3.67,light rain
171,Minot,US,2020-09-13 20:35:59,48.23,-101.3,64.4,36,1,12.75,clear sky
172,Tiksi,RU,2020-09-13 20:36:00,71.69,128.87,39.31,88,9,1.59,clear sky
173,Talcahuano,CL,2020-09-13 20:33:05,-36.72,-73.12,59.0,58,0,17.22,clear sky
174,Christchurch,NZ,2020-09-13 20:31:12,-43.53,172.63,51.8,81,99,4.7,overcast clouds
175,Berlevag,NO,2020-09-13 20:36:00,70.86,29.09,48.2,93,75,9.17,light intensity drizzle
176,Iqaluit,CA,2020-09-13 20:36:00,63.75,-68.51,39.2,89,90,11.32,overcast clouds
177,Xichang,CN,2020-09-13 20:36:00,27.9,102.26,63.84,81,99,1.45,moderate rain
178,Chiria,IN,2020-09-13 20:36:00,22.3,85.27,73.81,96,99,1.66,overcast clouds
179,Terre Haute,US,2020-09-13 20:33:04,39.47,-87.41,82.4,51,40,6.93,scattered clouds
180,Itarema,BR,2020-09-13 20:36:00,-2.92,-39.92,78.93,73,69,18.25,broken clouds
181,Lumphat,KH,2020-09-13 20:36:01,13.49,106.98,73.38,97,87,2.19,overcast clouds
182,Alice Springs,AU,2020-09-13 20:36:01,-23.7,133.88,62.6,55,0,8.05,clear sky
183,Tokmak,UA,2020-09-13 20:36:01,47.25,35.71,66.9,45,0,2.48,clear sky
184,Blythe,US,2020-09-13 20:36:01,33.61,-114.6,100.99,11,1,3.36,clear sky
185,Sovetskoye,RU,2020-09-13 20:36:01,52.29,85.41,44.78,83,12,3.94,few clouds
186,Maracacume,BR,2020-09-13 20:36:01,-2.04,-45.96,78.06,84,74,4.18,broken clouds
187,Zaraza,VE,2020-09-13 20:36:01,9.35,-65.32,85.3,86,61,1.34,broken clouds
